Topic,Words,Frequency,Class
18,"folkbiblioteken, litteratur utifrån behov förutsättningar 10, förutsättningar 10 enligt, behov förutsättningar 10, utifrån behov förutsättningar 10",1,Storfors
21,"dyker ses garant god kvalitet, samt samarbeten privata kommunala, upptäcktslusten via webb tjänster, ses garant, såväl digital inkluderande väcker",1,Storfors
23,"finansieras, finansiering, kultur fritid, värmland, fritid",1,Storfors
24,"timmar, öppet, timmar vecka, fredag 32 timmar, öppet måndag fredag 32 timmar",2,Storfors
29,"informationssökning källkritik, förmåga, källkritik, informationssökning, informationssökning källkritik självklar",1,Storfors
-1,"medier, barn, mål, vetlanda, biblioteket",21,Vetlanda
0,"digitalt, utbud medier tjänster erbjuda god, åldrar ca 180, digitalt delaktiga mål erbjuda brett, åldrar ca 180 000",1,Vetlanda
1,"projektet pågår 2019 2021, läsplatser studerande folkbiblioteket, renoverade, gemensam målbild framtidens bibliotek nyinvigs, folkbiblioteket sökt beviljats pengar",1,Vetlanda
3,"ja, cicero, ja cicero, chromebook, sökbart",1,Vetlanda
4,"annat, nationella, svenska, erbjuda litteratur, ägna särskild uppmärksamhet",1,Vetlanda
5,"verksamhetsmålen, verksamhetsberättelse kopplas målen, verksamhetsberättelse kopplas, kopplas målen lokala, kopplas målen lokala arbetsplanen",2,Vetlanda
7,"skolbiblioteket, skolans, elever, elever personal, undervisningen",3,Vetlanda
12,"vetlanda, vetlanda kommuns, vision, erbjuda rikt kulturliv levande landsbygd, uppdrag mål vetlanda kommuns vision",1,Vetlanda
23,"kommun omfattar fysiska biblioteken centralt, folkbiblioteket fri neutral, väl fungerande demokrati folkbiblioteket vetlanda, ramkvilla kommunen mobilt bibliotek består, ramkvilla kommunen mobilt bibliotek",1,Vetlanda
24,"vetlanda lärcentrum, vetlanda, timmar, lärcentrum, öppet",1,Vetlanda
-1,"biblioteket, arjeplogs, böcker, andra, norrbotten",32,Arjeplog
0,"digital, digital delaktighet, informationstillfällen, delaktighet, datorer internetuppkoppling uppgift",2,Arjeplog
1,"attraktiv mötesplats, attraktiv, mötesplats, öka antalet besökare aktiva, konstform öka",1,Arjeplog
2,"arbeta fram, mediepolicy, medieplan, gemensamma, regional",2,Arjeplog
4,"personer, nationella, antal, uppmärksamhet nationella minoriteterna, uppmärksamhet nationella",2,Arjeplog
5,"uppföljning, kungliga biblioteket, kungliga, tas beaktning, biblioteket länsbiblioteket kommunerna följer",1,Arjeplog
6,"arjeplogs, närheten, inskriva, skolbibliotek strategiskt placerat närheten, arjeplogs slagnäs förskolor",1,Arjeplog
9,"arjeplogs kommun, år, arjeplogs, besöksnäring rennäring, år år 2015 246",1,Arjeplog
13,"sagostunder, barn, sagostunder andra språk svenska erbjuda, kontakt förskolepersonalen tillsammans lärarna, ungdomsböcker elever lärare bokutställningar biblioteket",2,Arjeplog
14,"tydliggöra, tydliggöra vill, tydliggöra målsättning bibliotekatt, tydliggöra målsättning, arbetaatt vidareutveckla biblioteksverksamheten uppnå",2,Arjeplog
15,"material, mediepolicy, präglas, utgå efterfrågan litteratur skall, okänd avsändare mål bibliotekets utbud",1,Arjeplog
16,"styrs, elever lärare, elevernas, skolbibliotek, ingår",1,Arjeplog
19,"arjeplogs, arjeplogs kommun, livsmiljö, tillväxt, biblioteket viktigt centrum kultur lärande",2,Arjeplog
25,"kommunfullmäktige, arjeplogs, 2015, biblioteksplan, 2015 2020 planen omfattar",1,Arjeplog
28,"ökas antal, ökas, antal, ökas antal aktiva låntagare ökas, aktiva låntagare ökas",1,Arjeplog
-1,"arvidsjaurs, personer, biblioteket, svenska, biblioteken",23,Arvidsjaur
0,"uppföljning, uppföljning utvärdering, dagens, utvärdering, uppföljning utvärdering revidering planen",1,Arvidsjaur
3,"nyckeltal, arvidsjaurs, kommun, kommunfullmäktige 2017 11 28, kommunfullmäktige 2017 11",2,Arvidsjaur
6,"arvidsjaurs, arvidsjaurs kommun, finns, ringelskolan, bemannat",6,Arvidsjaur
9,"arvidsjaur, arvidsjaurs, bor, huvudbibliotek arvidsjaur integrerat folk, betyder givmilda sjön kommunens",1,Arvidsjaur
10,"svenska, nationella, språk, sverige, www sprakochfolkrninnen se 2017",2,Arvidsjaur
13,"barn, läspepp, biblioteket, fritiden, besöker",1,Arvidsjaur
15,"material, inköp, heteronormen inköp barnmedier tydligt, järnställdhetsperspektivet biblioteken även sträva tillhandahålla, även sträva tillhandahålla material",1,Arvidsjaur
21,"databaser, även, utlån även söka information, bibliotekets publika datorer del, även hemifrån via remote",1,Arvidsjaur
24,"vecka vintertid utöver, vintertid utöver, timmar vecka vintertid utöver, timmar, timmar vecka vintertid",1,Arvidsjaur
25,"biblioteksplan, biblioteksplan avses plan beskriver, plan beskriver kommunens, arvidsjaurs kommun omfattar kommunens folk, krn2 kommunen bor",1,Arvidsjaur
28,"läsning, sab, dewey, talar, funktionsvariation",1,Arvidsjaur
-1,"lindesbergs, finns, barn, 2017 2020, lindesberg",16,Lindesberg
0,"lindesberg, ökade, digitala, samhället, kulturella",2,Lindesberg
2,"läsfrämjande arbete, arbete, läsfrämjande, brett medieutbud tillgång bibliotekarier närhet, kommunens sociala verksamhet",1,Lindesberg
8,"rätt, region örebro läns, barn, örebro läns, fn",2,Lindesberg
9,"lindesberg, bergslagskommunen lindesberg, 23 000 invånare, lindesberg bergslagskommunen lindesberg bor, lindesberg bor",1,Lindesberg
11,"unescos, omnämns viktigaste nationella övernationella unescos, bibliotekslag 2014 2013 801, 1596 omvärldsförändringar skett, uppföljning skollagen 2010 800",1,Lindesberg
12,"lindesbergs, social, social hållbarhet, hållbarhet, kommun",1,Lindesberg
29,"lindesberg, läsfrämjande, läsfrämjande ytterligare insatser behövs tillgänglighet, självklarhet lindesberg samlade biblioteksverksamheten, stärka elevernas media informationskompetens många",1,Lindesberg
-1,"fram 2023, ronneby, barn, biblioteket, gäller",25,Ronneby
0,"digitala, gäller, digitalt, digitalt delaktiga, digital",4,Ronneby
1,"biblioteksrummet, upplevelser rummet genom, upplevelser rummet genom arrangemang, rummet genom arrangemang aktiviteter, upplevelser rummet genom arrangemang aktiviteter",1,Ronneby
2,"ronneby, blekinge, mediesamarbete, blekinge kronoberg, kronoberg",1,Ronneby
3,"ronneby, ronneby kommun, 2023, fram 2023, kommun",2,Ronneby
6,"ronneby, vuxenutbildningen, grundskolorna, grundskolor, ser skolbibliotekslösningarna olika ronnebys högstadieskolor",1,Ronneby
7,"faktaböcker, skolbibliotekarierna, lärarna ta fram bra, lärarna ta fram, samverkar lärarna ta",1,Ronneby
8,"blekinge, region blekinge, barnkonventionen, barn, ronneby kommun annat",1,Ronneby
12,"ronneby, strategiska målområden, bra, framgångskommun, målområden",3,Ronneby
13,"barnet, erbjuds, familjen biblioteksbesök, månader ytterligare bok samband barnet, 18 månader ytterligare",2,Ronneby
15,"fördelning, översyn, inköp, låntagare, låntagarnas önskemål behov specifika åtgärder",1,Ronneby
16,"elevernas, skolbibliotek, skolinspektionen, ställs, tillgång skolbibliotek",1,Ronneby
18,"skollagen, folkbiblioteken, 10, lärande, skolbibliotek",1,Ronneby
23,"listerby, kallinge listerby, kallinge, ronneby, 17 personer",1,Ronneby
24,"stads filialbiblioteken, timmar, nedladdningar, öppet, filialbiblioteken",1,Ronneby
25,"kulturnämnden utbildningsnämnden, teknik fritid kulturnämnden utbildningsnämnden, fritid kulturnämnden utbildningsnämnden, teknik fritid kulturnämnden, teknik fritid",1,Ronneby
29,"åtgärder fram 2023 skolbibliotekarierna visar, visar databaser, databaser finns användas undervisningen, finns användas undervisningen, 2023 skolbibliotekarierna visar databaser finns",2,Ronneby
-1,"håbo, läsfrämjande, håbo bibliotek, språkutveckling, biblioteket",14,Håbo
0,"digital, digitala, håboborna, biblioteket, datumvår",1,Håbo
3,"bibliotektidpunkt aktualitetsprövningersätter tidigare versioner 2019, strategier biblioteksverksamheten håbo, bibliotektidpunkt aktualitetsprövningersätter tidigare versioner, aktualitetsprövningersätter tidigare, 26 31 relaterade",1,Håbo
5,"skolbibliotek, håboborna, datumvår, digital, egna",1,Håbo
8,"mål, barnkonventionen, bibliotekets verksamhet, barn, verksamhet",1,Håbo
12,"fokus målet, fokus målet utveckla, fri, målet utveckla, målet",1,Håbo
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",1,Håbo
25,"håbo, mål håbo, lagar styrdokument styr biblioteksverksamheten planens, håbo lever, demokratiskt samhälle kännetecknas jämlikhet medbestämmande",1,Håbo
-1,"barn, biblioteket, skolbiblioteken, olika, genom",26,Sölvesborg
0,"fortsatt angelägen, jobba erbjuda bibliotek fortsatt angelägen, digitaliseringen jobba, betyder ökade digitaliseringen jobba, betyder ökade digitaliseringen jobba erbjuda",2,Sölvesborg
1,"erbjuda, arrangemang, föreningar, mer öppet, genom",1,Sölvesborg
2,"bibk, blekinge kronoberg, kronoberg, blekinge, administrerar länsgemensam webbsida",3,Sölvesborg
6,"samt gymnasieskolornas, ligger barn, utsedda lärare, utsedda lärare getts särskilt, bromöllas kommunförbund samarbete folkbibliotek",1,Sölvesborg
7,"lässtimulans, skolans, skolbiblioteket, eleverna, skolan",1,Sölvesborg
8,"barnets, barnets rättigheter, rättigheter, barn, mer utbildning högskolenivå barnets",1,Sölvesborg
9,"sölvesborg, sölvesborg 2017, 2017 24 befolkningen eftergymnasial, riksgenomsnittet sveriges kommuner 35, 2017 24 befolkningen",2,Sölvesborg
14,"allmänna, allmänna biblioteksväsendet, biblioteksväsendet, genom, frågor demokrati yttrandefrihet",1,Sölvesborg
15,"lärcentrum, studerande, låntagare bland, aktiva låntagare bland, livslångt lärande",1,Sölvesborg
-1,"norrköpings, genom, biblioteken, norrköpings kommun, barn",38,Norrköping
0,"möjligheter exempel götasamarbetet, regionen medelst gemensamma resurser tjänster, infrastruktur svenska biblioteken, ständigt vidareutbildad personal också svara, möjligheter exempel götasamarbetet regionen medelst",1,Norrköping
1,"rum, samhällets öppna rum, samhällets öppna, öppna rum, öppna",1,Norrköping
2,"jämlikhet fråntar enskilda huvudmannen ansvar, instanser stödjande styrande, regionala instanser stödjande styrande, ansvar beslutsmandat poängterar, ansvar beslutsmandat poängterar nationella regionala",1,Norrköping
4,"2017 skolfs, rev 2017 skolfs, rev 2017, skolfs, huvudmannen",5,Norrköping
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",2,Norrköping
18,"folkbiblioteken, tid, regional biblioteksverksamhet, få, landsting",1,Norrköping
20,"ansvarar, staten, landsting, kommuner, ansvarar staten",2,Norrköping
26,"lånecentraler, högskolebibliotek, biblioteksverksamhet, tillgång, regional biblioteksverksamhet",2,Norrköping
28,"lärandet, små barnen lärande, barnen lärande utveckla invånarnas möjligheter, tiden folkbiblioteken utveckling tillhandahållande, barnen lärande utveckla",1,Norrköping
-1,"orsa, även, biblioteket, samt, orsa bibliotek",19,Orsa
0,"tillgå medier digitala, kunskaperna hos kommuninvånarna informationsteknik användas, ingå framtida samarbete, tillgå medier digitala tjänster, tillgå medier",1,Orsa
12,"aktiviteterna, kunna genomföras tar hänsyn, form lokaler målgrupper digitalt, målgrupper digitalt öka samarbetet, flesta planerade aktiviteter framöver räknar",1,Orsa
13,"direkt, bokpåsar, biblioteket, finns, biblioteket förskolornas föräldrar låna",1,Orsa
14,"paragraf, bibliotekslagens, fast, finnas, biblioteken allmänna biblioteksväsendet",1,Orsa
27,"orsa, bibliotek, orsa bibliotek, finns, dalarna",13,Orsa
-1,"sigtuna, barn, sigtuna kommun, biblioteken, biblioteket",23,Sigtuna
1,"allas, biblioteket förvalta klokt erbjuda, förvalta klokt erbjuda miljö öppen, däremot allas bibliotek plats, däremot allas bibliotek",1,Sigtuna
6,"sigtuna kommun, sigtuna, skolbiblioteksverksamheten sigtuna kommun, skolbiblioteksverksamheten sigtuna, skolbibliotek",1,Sigtuna
8,"möjligheten, tjänster hänsyn tas barnverksamheten biblioteken, utveckla kulturella identitet avgörande inverkan, samhälle formar tillsammans synas kommunens, planering tillsättning tjänster hänsyn tas",1,Sigtuna
10,"klassifikationssystemet, sigtuna kommun, sigtuna, nationella, nationella minoriteterna",1,Sigtuna
23,"svenska kyrkan, kyrkan, kyrkan kommuninvånare landsbygden tillgång, medier breda, kommunen delar tack",1,Sigtuna
-1,"barn, annat, också, svenska, personer",19,Ljusnarsberg
0,"biblioteken, teknik, digital, digitala, litteratur läsning",5,Ljusnarsberg
1,"databaser, medier undersöker finns, databaser bredda utbud service, tillgängligheten utvecklar ser bestånd digitala, databaser utnyttjas personen behöver besöka",1,Ljusnarsberg
2,"försöker, pågår, samarbeten, gällande, föreningar",2,Ljusnarsberg
4,"möjligheten kunna ta del, möjligheten kunna ta, möjligheten kunna, kunna ta del, kunna ta",1,Ljusnarsberg
5,"göras, återfinns efterföljande nivån styrmodellen dokument, viktigt tider kris utmaningar planen, sen ske mätbara målen, sen ske mätbara",2,Ljusnarsberg
8,"kvalitativ verksamhet beaktar konsekvenser beslut, extra kvalitativ, barn enlighet, verksamhet beaktar, lag tar tänker extra kvalitativ",1,Ljusnarsberg
12,"vision 2030, fakta, 2030, vision, basera beslut fakta satt sitt",1,Ljusnarsberg
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",1,Ljusnarsberg
15,"köps in, köps, kompetensutveckling, media, in",1,Ljusnarsberg
17,"metoder, lösa, problem, nya, lösningar",1,Ljusnarsberg
24,"timmar, veckan sammanlagt, dagar veckan sammanlagt, öppet, veckan",1,Ljusnarsberg
25,"kommunens, verksamheten följa kommunallagen annan, kompetensmöten upplevelserinnovation entreprenör skapstyrmodellen, åtanke kommunala, medborgarnas bästa åtanke kommunala",1,Ljusnarsberg
-1,"gullspångs, biblioteket, läsfrämjande, kommunbiblioteket, gullspångs kommun",47,Gullspång
0,"innebär kunna, kunna, tillförlitlighet innebär kunna, hamna digitalt utanförskap minst äldre, digitalt utanförskap minst",3,Gullspång
1,"också, biblioteket, kommunbiblioteket, arrangemang, gullspångs",4,Gullspång
2,"samarbeten, skol folkbiblioteket, förvaltning, skol, samarbetet",2,Gullspång
3,"18, informationskompetens, uppdrag, 10, 10 arbete ökad informationskompetens",2,Gullspång
4,"bemötande, också tycka får sämre, personalgruppen behövs, bästa typ bemötande, bästa typ",1,Gullspång
10,"möjligheten, svenskan arbeta projektform, förmedla lån, talbokslåntagare egen nedladdning efterfrågan förmedla, talböcker registrera",1,Gullspång
11,"hållbar utveckling, hållbar, hållbar utveckling kulturrådet förslag rubriker, hållbar utveckling 2004 lära, verktyg praktiska exempel kommittén",1,Gullspång
13,"bokpåsar alternativt kapprumsbibliotek erbjuds, kapprumsbibliotek erbjuds förskolorna biblioteket, erbjuder läsfrämjande aktiviteter mindre barn, alternativt kapprumsbibliotek, erbjuds förskolorna",1,Gullspång
14,"allmänna, allmänna biblioteksväsendet, biblioteksväsendet, landets samlade biblioteksresurser tillgängliga prioriterade, samlade biblioteksresurser tillgängliga prioriterade grupper",1,Gullspång
17,"skolbibliotekarien, behöver, också tänka nytt få in, bibliotekets uppdrag verksamhet biblioteket, få in starkare fokus",1,Gullspång
20,"ansvarar, staten, huvudmän enlighet bestämmelserna kap skollagen, enskilda huvudmän enlighet, bestämmelserna kap skollagen 2010",1,Gullspång
24,"öppet, timmar, dagar, öppet 18 00, öppet 18",1,Gullspång
-1,"biblioteket, jokkmokks, barn, litteratur, år",31,Jokkmokk
0,"digitala, digitalt, hjälp, digital, kompetens",8,Jokkmokk
1,"besökarna kunna få paus känna, ärende utbildning medlemskap, utbildning medlemskap pengar biblioteken besökarna, få paus känna, utbildning medlemskap pengar biblioteken",1,Jokkmokk
2,"samverkansavtal reglerar samarbetet, samverkansavtal reglerar, länet, reglerar samarbetet, samverkansavtal",3,Jokkmokk
3,"jokkmokks, jokkmokks kommun, 11, besök lån, 801",2,Jokkmokk
4,"personer, annat, folkbibliotek, nationella, svenska",3,Jokkmokk
8,"barn, kultur fritidsnämndens inriktning, fritidsnämndens inriktning, kultur fritidsnämndens, fritidsnämndens",2,Jokkmokk
13,"barnomsorg, får, sommarboken sommarlovet barnomsorg, barnen bok gåva barns, barn jokkmokk vuollerim porjus",1,Jokkmokk
14,"biblioteksverksamhet, allmänna biblioteksväsendet, biblioteksväsendet, allmänna, biblioteken allmänna biblioteksväsendet",1,Jokkmokk
18,"folkbiblioteken, tid, få, tillgång, litteratur",1,Jokkmokk
20,"ansvarar, staten, ansvarar staten, enskilda, kommuner",3,Jokkmokk
23,"jokkmokks, vuollerim, jokkmokks kommun, samiska, personer",1,Jokkmokk
24,"timmar, timmar veckan, jokkmokk, öppet, veckan",1,Jokkmokk
26,"lånecentraler, förfogande, avgiftsfritt, medieförsörjning finnas flera lånecentraler, medieförsörjning finnas flera",2,Jokkmokk
28,"personer, personer funktionsnedsättning, funktionsnedsättning, läsning, litteratur",1,Jokkmokk
-1,"biblioteken, lysekils, insatser perioden, genom, perioden",18,Lysekil
0,"digitala, tillfällen medborgare lära, ständiga utvecklingen digitala världen, ständiga utvecklingen digitala världen kräver, ökad medvetenhet digitaliseringens möjligheter",2,Lysekil
1,"arrangemangen, arrangemangen även fungera, besökare brett utbud möjliggöra, möten fysiska verkligheten lokala perspektivet, kommuninvånare andra besökare brett utbud",1,Lysekil
2,"olika, biblioteken, sikt, samverkan, behöver lysekils",3,Lysekil
4,"personer, bland, bland annat genom, annat genom, ta",2,Lysekil
5,"lysekil, biblioteksplanen, 2019 2022 därefter revideras, 2022 därefter revideras, gäller perioden 2019 2022 därefter",2,Lysekil
17,"vägleda informationssökning insatser periodenpersonalen fortlöpande, beaktande mandatperioden kompetensutveckling bibliotekens, vägleda informationssökning insatser periodenpersonalen, mandatperioden kompetensutveckling bibliotekens, bibliotekspersonalen behöver bred",1,Lysekil
21,"digitala, göra, streamingtjänsten, öka digitala tillgängligheten bibliotekens, trådlöst nätverk wifi",1,Lysekil
