Topic,Words,Frequency,Class
11,"utbildningssatsning digitalt först omvärldsbevakning, deltar region, aktiviteter deltar region, aktiviteter deltar region uppsalas utbildningssatsning, aktiviteter deltar",1,Heby
12,"heby, kommun, heby kommun, god, hållbarhet",6,Heby
16,"skolbibliotek, standard, tillgång skolbibliotek, omfattas, tillgång",2,Heby
22,"heby, heby kommun, bibliotek, delar mediebestånd katalog personal, östervåla tärnsjö delar",2,Heby
-1,"folkbiblioteket, biblioteket, litteratur, barn, hörby",33,Hörby
0,"digitala, digitalt, digitalt eftersom världar mer vävs, digitalt eftersom världar, eftersom världar mer",4,Hörby
2,"skåne, utförs, bibliotekssamarbete, systemet, region skåne",1,Hörby
3,"hörby, biblioteksplan, 2021, hörby kommun, kommun",3,Hörby
4,"annat, nationella, svenska, allmänna biblioteksväsendet ägna särskild uppmärksamhet, biblioteksväsendet ägna särskild uppmärksamhet",2,Hörby
5,"kulturhus, utformning, 2024, 2022 2023 kf 20201130, 236 finns långsiktiga investeringsplanen",1,Hörby
6,"samarbete, lärcenter, samarbete folkbibliotek, bokstart, regelbundet",1,Hörby
7,"elever, skolbiblioteken, lärare, användandet, digital kompetens",1,Hörby
14,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",1,Hörby
15,"studier, efterfrågan utbud aktualitet, mediesamlingen utvecklas, studier lustläsning bildning, mediesamlingen utvecklas kontinuerligt genom tillskott",1,Hörby
19,"upplevelser, stå centrum kulturgarantins program, stå centrum kulturgarantins program erbjuder, människor emellan stå centrum, kulturella upplevelser såväl kravlösa mötet",1,Hörby
24,", öppet, bindande avtal erhålla andra, låntagare endast få sedvanlig öppettid, sedvanliga öppettider",1,Hörby
28,"läsning, perioden barn unga, projekt utökad samverkan folkbibliotek, särskilt utpekade mål perioden barn, skolbiblioteken samverkar genom aktivt",1,Hörby
-1,"samt, elever, biblioteket, barn, olika",12,Kristinehamn
0,"användarna, behålla, digitaliseringen, förslag nationell biblioteksstrategi, förslag nationell",1,Kristinehamn
1,"utanför befintlig lokal, utanför befintlig, befintlig lokal, biblioteket, lokal",2,Kristinehamn
3,"saltberg, lena saltberg, folkbibliotek bokbuss, kristinehamn, biblioteksplan",1,Kristinehamn
6,"skolor förskolor besöker regelbundet kristinehamns, vissa skolor förskolor besöker, regelbundet kristinehamns bibliotek, förskolor besöker regelbundet kristinehamns bibliotek, besöker regelbundet kristinehamns bibliotek",2,Kristinehamn
11,"sfs, anges följande vision mål, biblioteksplanen strategin anges följande, stöd framtagandet biblioteksplanen, biblioteksplanen strategin",1,Kristinehamn
15,"media, mediebestånd, inköp, planperioden arbete synliggöra, fördelning medel inköp media låntagares",1,Kristinehamn
29,"stöd, god, olika, samtliga skolformer möta, stöd progression utmaningaratt tillgängliggöra litteratur",1,Kristinehamn
-1,"borgholms, biblioteket, samverkan, finns, främja",23,Borgholm
0,"digitala, ca 40 medborgarna söker aldrig, även tanke tillgängligheten, agendan står bibliotek studieförbund, digitala agendan står bibliotek studieförbund",4,Borgholm
1,"borgholm, biblioteket, bibliotek, bibliotek passerkort, bibliotek kunna meröppet bibliotek",3,Borgholm
2,"samverkar, samverkan, borgholms kommun, borgholms, föreningslivet",2,Borgholm
4,"litteratur, personer, annat, allmänna biblioteksväsendet ägna särskild uppmärksamhet, biblioteksväsendet ägna särskild uppmärksamhet",4,Borgholm
6,"skolbibliotek, utbudet äppelhyllan skolbibliotek, biblioteken utveckla utbudet, elever borgholms kommun tillgång, samtliga elever borgholms kommun",1,Borgholm
7,"elever, bestånd, studiemiljö såväl naturlig, bestånd elever tillgång resurser bibliotekarierna, bestånd elever tillgång",1,Borgholm
13,"barn, förskoleklass, förskolan, erbjuda, lånekort regelbundna biblioteksbesöken",2,Borgholm
14,"allmänna biblioteksväsendet, biblioteksväsendet, allmänna, biblioteken allmänna biblioteksväsendet, biblioteken allmänna",2,Borgholm
17,"aktivt, aktivt underhåll genom fortlöpande gallring, underhåll genom fortlöpande gallring översyn, lika viktigt aktivt underhåll, urvalsprocessen lika viktigt",1,Borgholm
18,"folkbiblioteken, tid, få, tillgång, litteratur",1,Borgholm
20,"ansvarar, staten, ansvarar staten, enskilda, kommuner",3,Borgholm
26,"lånecentraler, förfogande, avgiftsfritt, medieförsörjning finnas, medieförsörjning finnas flera",2,Borgholm
29,"skolbibliotekarien, årskurs, skolbibliotekarien deltar föräldramöten, källkritiska förmåga skolbibliotekarien, arbetsområde årskurs syfte öka",1,Borgholm
-1,"bokbuss, sälens, malung sälens, malung, malung sälens kommuns",6,Malung-Sälen
0,"digitala, idag stor del, digitala plattformerna, idag stor del vardag, utgör idag stor del",2,Malung-Sälen
2,"glesbygd, avgörande faktor ekonomi balansaktivitet starta, även glesbygd bibliotekverksamhetens utveckling, glesbygd avgörande faktor ekonomi, utveckling biblioteken malung",1,Malung-Sälen
4,"annat, erbjuda litteratur, bland annat genom, ägna särskild uppmärksamhet, annat genom",1,Malung-Sälen
8,"rätt, rättigheter, rättigheter staten utnyttja yttersta, gäller barnets ekonomiska, rättigheter staten utnyttja yttersta resurser",2,Malung-Sälen
10,"format, nationella, svenska, samtalet framtiden biblioteken enligt bibliotekslagen, bibliotekslagen ägna särskild uppmärksamhet huvudmålgrupperna",1,Malung-Sälen
11,"malung sälens, sälens, malung, bibliotek malung, bibliotek malung sälens",1,Malung-Sälen
12,"verksamheten strävar, strävar, verksamheten, alltid, strategier",1,Malung-Sälen
14,"demokratiska, biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet",1,Malung-Sälen
23,"obemannat, biblioteken malung sälens, biblioteken malung, biblioteken malung sälens kommun, malung sälens kommun",1,Malung-Sälen
25,"biblioteksplanen, styrdokument, biblioteksplaner, kvalitet kommunalt likväl regionalt, ökar möjligheterna samordna",1,Malung-Sälen
27,"sälens, malung sälens, malung, dalarna, sälens turism",1,Malung-Sälen
-1,"barn, olika, finns, också, samt",51,Hylte
0,"digitala, digital, digitalt, hyltebiblioteken, också",10,Hylte
1,"hyltebiblioteken, meröppet, fler, biblioteket, arrangemang",4,Hylte
2,"halland, koha, hyltebiblioteken, halländska, hallands",3,Hylte
3,"hylte, www, 16, utmaningar, digital kompetens",3,Hylte
4,"bidra kunskapsförmedling fri åsiktsbildning grunden, allsidighet kvalitet enligt andra, kvalitet enligt andra, andra paragrafen biblioteken bidra, enligt andra paragrafen biblioteken bidra",1,Hylte
7,"skolbiblioteket, miljö, kompetens, elevernas, digital",4,Hylte
10,"svenska, beståndet, förutom svenska, arbeta utveckla, utöka beståndet",1,Hylte
14,"rubrikerna digitala klyftor medie informationskompetens, utmaningar rubrikerna digitala klyftor, medie informationskompetens demokrati läsfrämjande beskrivs, demokratiuppdrag berörs utmaningar, demokrati läsfrämjande beskrivs nedan",1,Hylte
15,"utbudet, allsidighet kvalitet, allsidighet, bibliotekarier, medier",2,Hylte
21,"http, hyltebibliotekens, blogspot com, blogspot, blogg",1,Hylte
-1,"höganäs, biblioteket, genom, verksamhet, biblioteken",26,Höganäs
0,"stora, biblioteken, öppet nya tankar idéer, nya tankar idéer arbetssätt samt, mest besökta samhällets kulturinstitutioner biblioteken",2,Höganäs
1,"bibliotekskort även obemannat, rum dit komma krav ärende, exempel språkcaféer riktade, innebär tillgång biblioteket genom sitt, tillgänglighet meröppet",1,Höganäs
2,"kultur fritidsförvaltningen, fritidsförvaltningen, utbildningsförvaltningen, kultur, genom samarbete utbildningsförvaltningen kultur",1,Höganäs
16,"integrerade bibliotek, skolbibliotek, integrerade, finns kommunala grundskolor, skolbibliotek finns kommunala",1,Höganäs
22,"helsingborg, familjen, familjen helsingborg, bibliotek familjen, bibliotek familjen helsingborg",3,Höganäs
25,"biblioteksplan, höganäs, värdegrund, anger, ses",1,Höganäs
-1,"planperioden, olika, genom, dewey, förskolebibliotek",12,Burlöv
1,"biblioteksrummet, burlöv, medborgarna, behöver stärkas, behöver",2,Burlöv
4,"folkbiblioteken, årliga, folkbiblioteken tillgängliga relevanta, folkbiblioteken burlöv, tillgängliga relevanta planperioden arbeta folkbiblioteken",1,Burlöv
7,"skolan, dokumentansvarig förvaltningstyrdokument, 7dokumenttyp, fritidschef utbildnings, 7dokumenttyp dokumentnamn",1,Burlöv
29,"hjälpmedel skolbiblioteket, elever, hjälpmedel, särskilt elever behöver extra stöd, stöd hjälpmedel skolbiblioteket",2,Burlöv
-1,"biblioteket, barn, litteratur, samt, foto",30,Kiruna
0,"digitala, biblioteket, tjänster, digitala tjänster, erbjuda",4,Kiruna
1,"biblioteket, bibliotekets, genom, nya, erbjuda",5,Kiruna
4,"personer, framgår, användarnas behov, användarnas, behov",2,Kiruna
8,"rätt, barn rätt, barn, barnkonventionen, rör",1,Kiruna
10,"nationella, svenska, språk, minoriteter, minoritetsspråken",5,Kiruna
11,"sfs, sfs 2009, 2009, regional, foto biblioteken norrbottenlagens ändamålsparagraf",1,Kiruna
13,"lugn ro, ro, lugn, möjlighet, öppettider",1,Kiruna
16,"skolbibliotek, tillgång skolbibliotek, skollagen går, skollagen går läsa elever, uppfyllda myndigheten",1,Kiruna
25,"kiruna, planen, kiruna kommuns, kirunas, styrdokument",1,Kiruna
-1,"biblioteket, barn, medier, nora, andra",47,Nora
0,"uppdaterad stöder aktuella program biblioteket, bibliotekets utrustning uppdaterad stöder, uppdaterad stöder aktuella program, källkritik viktig del bibliotekens uppgift, uppgift biblioteket finns tillgång datorer",1,Nora
1,"finns, utnyttjas, biblioteket, ger, läsning alternativt sammanträden",4,Nora
2,"nora, örebro, första hand regional samverkan örebro, första hand regional samverkan, hand regional",2,Nora
3,"läsfrämjande verksamhet åldern, verksamhet åldern, åldern, läsfrämjande verksamhet, 17 koppling",1,Nora
4,"funktionsnedsättning, folkbiblioteken, litteratur, personer, behov",3,Nora
5,"regional, unescos folkbiblioteks, folkbiblioteks, utvärderas, se",1,Nora
6,"vuxenutbildning, hjernet, rum används skolbibliotek, används skolbibliotek, rum används",2,Nora
10,"utöka samlingarna, utöka, svenska, nora kommun, nora",1,Nora
13,"biblioteket, förskolebibliotek, barn, nora, folkbiblioteket",4,Nora
15,"avgifter, media, tas, återlämnad, andra tjänster däremot",1,Nora
17,"personalen, kompetenser, också kunskaper it samt, kunskaper it samt, viktiga kompetenser också",2,Nora
18,"få, kulturupplevelser medarbetarna viktigaste resursen, kultur information möten upplevelser uppfylla, kunskapsinhämtande kulturupplevelser medarbetarna viktigaste resursen, kunskapsinhämtande kulturupplevelser",1,Nora
21,"norra länsdelen, länsdelen, aktiviteter, norra, utreda",1,Nora
-1,"indikatorer, biblioteket, mål, genom, främja",14,Götene
0,"biblioteket, digital, indikatorer biblioteket genomför, enklare kurser enskilda visningar biblioteket, andra kommunala verksamheter biblioteket",1,Götene
1,"biblioteket, plats anmälanbehövs antagning sker frågor, hyllorna tydligt uppmärkta ljudanläggning används, politisk tillhörighet biblioteket, hindrad biblioteket samverkar många",1,Götene
2,"götene, service kommuninvånarna, indikatorer, biblioteket, kommuninvånarna",2,Götene
3,"10 mål, mål, götene, utveckling, 10",1,Götene
12,"strategiska, strategiska mål, perspektivet, mål, hållbar",3,Götene
21,"utöver dygnet, runt via hemsidan få tillgång, bibliotekets katalogstruktur, hemsidan få tillgång hela bibliotekets, dygnet runt via hemsidan få",2,Götene
26,"transporter biblioteken viktig del gemensamt, goda transporter, annat kräver goda transporter, annat kräver, annat kräver goda",1,Götene
-1,"biblioteket, vansbro, antal, barn, år",35,Vansbro
0,"digitala, biblioteken medverka, bibliotekets medarbetare, medverka, medarbetare",1,Vansbro
1,"biblioteket, biblioteket också anordna, anordna aktiviteter besökarna delaktiga, biblioteket också anordna aktiviteter besökarna, biblioteket också anordna aktiviteter",2,Vansbro
2,"länet, vansbro, samarbetar, föreningarbiblioteket, tillsammans barnens dag föreningen rädda",1,Vansbro
8,"rätt, barn, år, barn rätt, spel",3,Vansbro
10,"svenska, böcker, biblioteket, medier, andra",2,Vansbro
15,"in, bör, spel, media, allsidigt belysa",4,Vansbro
16,"elevernas, skolbibliotek, tillgång skolbibliotek, eleverna, tillgång",3,Vansbro
18,"folkbiblioteken, utbildningen, tillgång, litteratur, främja",1,Vansbro
21,"film, mer lättillgänglig film erbjudas hemlån, samtliga bibliotek filmvansbro bibliotek eftersträva, bör finnas kommunal informationska, bibliotek filmvansbro bibliotek",1,Vansbro
-1,"biblioteket, biblioteken, barn, genom, bibliotek",22,Piteå
0,"digitala, biblioteket, hatforum präglar delar, news hatforum, extrema åsikter",4,Piteå
1,"biblioteket, flera plan vistas, sker möten flera, plan vistas samhälle, möten flera plan vistas samhälle",3,Piteå
5,"barn unga, unga, uppföljning utvärdering, uppföljning, utvärdering",1,Piteå
8,"barnens, barn, rätt, unga lämpligt sätt, bör därför inhämta synpunkter",1,Piteå
11,"biblioteksbehovet, omfatta, biblioteksplan, regleras biblioteksverksamheten, regleras biblioteksverksamheten bibliotekslagen",1,Piteå
14,"bibliotekslagen står, verksamhet, samt, allmänna biblioteksväsendet, allmänna",1,Piteå
25,"planen, bibliotek kommunala organisationen förutom, verksamhetsplan barnkonventionen demokratins, enbart bibliotek kommunala, kommuns verksamhetsplan barnkonventionen demokratins",1,Piteå
-1,"knivsta, knivsta bibliotek, biblioteket, bibliotek, skolbiblioteken",20,Knivsta
0,"knivsta, digitala, knivsta bibliotek, delområden, digitala format",2,Knivsta
2,"knivsta, knivsta bibliotek, bibliotek, samverkan, uppsala",3,Knivsta
5,"kommunstyrelsen, biblioteksplanen, även synpunkter, nämnd också besluta specifika, biblioteksplanen följas genom",1,Knivsta
10,"knivsta, knivsta bibliotek, bibliotek, knivsta bibliotek även huvudbibliotek, knivsta bibliotek ingår",1,Knivsta
12,"hållbar utveckling, hållbar, agenda 2030 genomsyrar bibliotekens, nära samklang bibliotekets uppdrag, särskilt visionen nämligen arbete lärande",1,Knivsta
15,"demokratiuppdrag, bestånd medier, böcker, bestånd, brett",1,Knivsta
16,"tillgång skolbibliotek, skolbibliotek, skollagen, elevernas, eleverna",2,Knivsta
19,"knivsta, regleras, vision, uppdrag folkbibliotek skolbibliotek räknas allmänna, vision värdeorden delaktighet engagemang tydlighet",1,Knivsta
-1,"tranemo, biblioteket, folkbibliotek, skolbibliotek, bokbussen",18,Tranemo
0,"kompetens utveckla samarbetet föreningar, workshops etc kommuninvånarna, föreläsningar workshops etc kommuninvånarna, perioden stärka, studieförbund nå information föreläsningar",1,Tranemo
1,"arrangemang, samlingar arrangemang utveckla samarbetet externa, marknadsföringsplan nå information verksamhetens tjänster, verksamhetens tjänster, verksamhetens tjänster samlingar arrangemang utveckla",1,Tranemo
2,"media, regionala kontakt, utbildningar konferenser aktuella, olika former media, utbildningar konferenser aktuella ämnen",1,Tranemo
4,"personer, annat, juli 2011 står elever, gäller även bibliotekslagen ambition tranemo, fristående skolor skolbibliotek",1,Tranemo
5,"uppföljning, verksamhets utvecklingsplan uppföljningsamhällsutvecklingssektionen ansvarar uppföljning, utvecklingsplan uppföljningsamhällsutvecklingssektionen ansvarar, fjärde år behov, respektive verksamhets utvecklingsplan uppföljningsamhällsutvecklingssektionen ansvarar",1,Tranemo
6,"tranemo, biblioteken tranemo, grundskolor boksamlingar ansvarig, skolbiblioteken tranemo gymnasium tranängskolan, övriga grundskolor boksamlingar",1,Tranemo
7,"utformas, enligt, sätt uppfyller lagens krav rektor, likvärdigheten kommunstyrelsen ansvarar skolbiblioteken, uppfyller lagens krav rektor enligt",1,Tranemo
11,"föregås, beslut, skall, barnen föregås barnkonsekvensanalys innehållinledningsyftebiblioteksplanverksamhet idagfolkbibliotekskolbibliotekimplementering, innehållinledningsyftebiblioteksplanverksamhet idagfolkbibliotekskolbibliotekimplementering",1,Tranemo
21,"stödja språkutveckling litteraturutbudet, etc läsfrämjande biblioteket biblioteket, läsfrämjande arbete stödja språkutveckling litteraturutbudet, fritidsgårdar kulturskola företag, läsfrämjande arbete stödja",1,Tranemo
25,"tranemo kommuns, vg regionens, vg, skall, tranemo",1,Tranemo
-1,"andra, biblioteket, uppdrag, information, skolbiblioteken",9,Strömstad
8,"planer, biblioteken innebär verksamheterna planeras, målgrupp biblioteken innebär verksamheterna, svensk lag barn prioriterad, innebär verksamheterna planeras anpassas utifrån",1,Strömstad
11,"strömstads, bibliotekslag, biblioteksplaner, barn utbildningsnämnden barn utbildningsförvaltningen, samlade kommunala biblioteksverksamheten innehållet plan",1,Strömstad
-1,"vännäs, vännäs kommun, kommun, skolbiblioteken vännäs, skolbiblioteken vännäs kommun",12,Vännäs
3,"2024, 2022 2024, fokusområden 2022 2024, fokusområden 2022, service bibliotek läsfrämjande arbete",2,Vännäs
4,"kommun folkbibliotek, personer, funktionshinder personer annat modersmål svenska, främja läsning tillgång litteratur prioriterade, litteratur prioriterade målgrupper enligt",1,Vännäs
6,"vännäs, skolbibliotek, folk skolbibliotek, skolorna vännäs bibliotek arrangerar kulturarrangemang, anslutning skolorna vännäs",1,Vännäs
7,"skolbiblioteken vännäs, skolbiblioteken vännäs kommun, vännäs kommun, vännäs, digitala resurser",1,Vännäs
11,"sfs, 2024 barn, 2022 2024 barn, 2022 2024, sfs 2010 800",1,Vännäs
12,"vännäs kommun, vännäs, biblioteken vännäs, biblioteken vännäs kommun, kommun",1,Vännäs
18,"få, tillgång, ägnas barn ungdomars språkutveckling, publiceringsform bibliotekets kärnverksamhet ingår, kärnverksamhet ingår uppfylla",1,Vännäs
19,"vännäs, vännäs kommun, kommun, kommunbor, biblioteken vännäs kommun kommer",4,Vännäs
-1,"biblioteket, barn, stadsbiblioteket, bokprat, även",23,Köping
2,"konsumentrådgivning, kolsva, samarbete, runt, även",1,Köping
3,"bibliotekslag, köpings kommun, köpings, samarbete, ny bibliotekslag",1,Köping
6,"skolbibliotek, 36, förvaltningar gäller biblioteksverksamhet samarbete, 36 stadgas, kommunen finns åtta",1,Köping
9,"bibliotekets utbud, ställer, hög, krav bibliotekets utbud inköp, gruppen äldre växer ställer nya",1,Köping
11,"upphandling, upphandling media, köpings, genomföras, 2014",1,Köping
25,"biblioteksplanen, grund, köping kolsva medelåldern relativt, antagna mål tillämpliga biblioteksverksamheten, antagna mål tillämpliga",1,Köping
-1,"tranås, barn, tranås kommun, tillgång, biblioteken",11,Tranås
1,"åldrar, program, exempelvis meröppet innehåll biblioteken, särskilt anpassade lämpliga, exempelvis meröppet innehåll biblioteken verka",1,Tranås
2,"götabiblioteken, biblioteken skickar medier, medier låntagare kommuner bibliotek transporter, biblioteken skickar medier låntagare kommuner, kommuner bibliotek transporter vardagar",2,Tranås
5,"nytt, biblioteksplanen, vuxenutbildning samt stadsbiblioteket, vuxenutbildning samt stadsbiblioteket arbetet, ingår skolbibliotek vuxenutbildning",1,Tranås
17,"ständig, biblioteksverksamheten, pågår, personalen, guidar källkritiskt hjälpa",1,Tranås
-1,"kramfors, barnens, barn, gemensam grund, barn unga",7,Kramfors
0,"digitala, plats fri åsiktsbildning digitala utvecklingen, erbjuder därför digitala hjälpmedel handledning, invånarna mer digitalt delaktiga, information kunskap också källa",1,Kramfors
1,"nyanlända, biblioteket, personalgrupper nå störst, boenden ort biblioteket behöver, personalgrupper nå",1,Kramfors
2,"nivå, regional nivå, exempelvis läsecirklar introduktion olika etjänster, läsecirklar introduktion, både program regelbundna aktiviteter exempelvis",2,Kramfors
3,"mod skapa livskraft hela kommun, livskraft hela kommun, mod skapa livskraft hela, livskraft hela, skapa livskraft hela kommun",1,Kramfors
4,"kramfors, personer, kramfors kommun, biblioteken allmänna biblioteksväsendet, biblioteken allmänna",2,Kramfors
5,"31 planen ligger grund bibliotekets, följs årligen skriftlig rapport, rapport bildningsnämnden, skriftlig rapport, skriftlig rapport bildningsnämnden",1,Kramfors
10,"kramfors, personer, målgruppen, synliggöras del, mobilt arbetssätt ökar möjligheterna",1,Kramfors
-1,"biblioteken, olika, karlskrona, samt, finns",18,Karlskrona
0,"användare, digitala, informationsteknik, minska digitala klyftorna uppstår, användare användare leder större jämlikhet",1,Karlskrona
1,"huset, konst litteratur fördjupas information kunskap, ger mervärde både medarbetare, konst litteratur, besökare teman konst litteratur",2,Karlskrona
2,"samarbeten, bör också utveckla samarbeten andra, nationella samarbetena, samarbeten andra förvaltningar övriga, samarbeten andra förvaltningar övriga intressenter",1,Karlskrona
3,"xx, kommunfullmäktige, karlskrona, biblioteksplan, kommunför karlskrona kommunantagen kommunfullmäktige",1,Karlskrona
4,"minoritetsspråken, nationella, ägna särskild uppmärksamhet, ägna särskild, ägna",1,Karlskrona
5,"ändras, uppföljning, kommunens, årsvis genom bland annat kommunens, årsvis genom bland annat",1,Karlskrona
6,"skola, karlskrona kommun, skolområdet, karlskrona, finns",1,Karlskrona
9,"ca, år, åldersklassen, 80 år äldre, 80 år",7,Karlskrona
23,"folk, visar, biblioteken finns kommunen integrerade, biblioteken finns kommunen, kommunen integrerade folk",2,Karlskrona
-1,"biblioteket, lekebergs, olika, genom, kunna",40,Lekeberg
0,"digitala, digitala utanförskapet, utanförskapet, aktiviteter, aktiviteter dagliga mötet",4,Lekeberg
1,"biblioteket, eget skapande, människor, skapande, eget",4,Lekeberg
2,"bibliotekssamarbetet bland annat genom fjärrlåneverksamhet, bland annat genom fjärrlåneverksamhet, regionbibliotekets arbete beskrivs regionala biblioteksplanen, region örebro län bröl syfte, örebro län bröl syfte",1,Lekeberg
4,"folkbibliotek, kommun folkbibliotek, folkbiblioteken, annat, nationella",3,Lekeberg
6,"skola, förskoleklass åk, åk, förskoleklass, förskoleklass åk förskoleklass åk",1,Lekeberg
7,"förmåga, elevernas, läroplanen, språkliga förmåga, språkliga",2,Lekeberg
9,"invånare sista, prognosticerade antalet, invånare sista december, antalet invånare sista december 2019, antalet invånare sista",2,Lekeberg
10,"nationella, svenska, nationella minoritetsspråken, minoritetsspråken, dialog ur",1,Lekeberg
14,"allmänna biblioteksväsendet, biblioteksväsendet, allmänna, biblioteken allmänna biblioteksväsendet, biblioteken allmänna",2,Lekeberg
15,"efterfrågar medier, biblioteket fjärrlåna andra, köpa in biblioteket fjärrlåna, köpa in biblioteket, efterfrågar medier finns bibliotekets bestånd",2,Lekeberg
18,"folkbiblioteken, tid, få, tillgång, litteratur",1,Lekeberg
20,"ansvarar, staten, ansvarar staten, enskilda, kommuner",3,Lekeberg
26,"förfogande, avgiftsfritt, lånecentraler, medieförsörjning finnas flera lånecentraler, medieförsörjning finnas flera",2,Lekeberg
29,"likaså läsande berör väcker känslor, berör väcker känslor, ohälsa bland eleverna, väcker känslor, väcker känslor sätt",3,Lekeberg
-1,"stenungsunds, biblioteket, genom, information, stenungsunds kommun",13,Stenungsund
2,"sker, enlighet fastställd, vägledande operativa dokument, sker enlighet fastställd, riktlinjer styrande vägledande operativa dokument",1,Stenungsund
6,"personal, finns, boende, resurs bibliotekskatalog kommunen, samverkan grundskolan stöd barnbibliotekarier",1,Stenungsund
7,"skolbiblioteket, skolan, verktyg skolbiblioteket, skrivförmåga samt, via digitala verktyg skolbiblioteket språkstimulerande",1,Stenungsund
11,"stenungsunds, kommuns biblioteksplan ge struktur, möjliga biblioteksservice mål styrdokument biblioteksverksamheten, stenungsunds kommuns biblioteksplan ge, kommunfullmäktigebeslutsdatumdiarienummerdokumentägare verksamhetschef kultur",1,Stenungsund
27,"samverkan, bibliotek, samt, gemensam, ökat utbudet breddats",1,Stenungsund
-1,"biblioteken, år 2019, östersund, år, bibliotekens",13,Östersund
0,"biblioteken, digitala, rörliga, rörliga utåtriktade, utveckla",4,Östersund
1,"strävan uppnå uppställda mål biblioteken, digitalt samverkan andra verksamheter tas, stärker möten människor vare, ställe kulturella upplevelser biblioteken social, stärker möten",1,Östersund
14,"fri åsiktsbildning, åsiktsbildning, fri, biblioteken, övrigt besökarna skall mötas",1,Östersund
28,"läsning, stimulera läsning bibliotekens grundläggande uppgifter, väcka läslust stimulera läsning bibliotekens, läslust stimulera läsning bibliotekens grundläggande, läslust stimulera läsning bibliotekens",2,Östersund
-1,"biblioteket, barn, säffle, finns, också",36,Säffle
0,"digitalt universum, avgörande medborgare, ifla större, större digitalt universum, ifla större digitalt universum",3,Säffle
2,"samarbete, kring, finns, säffle, sker",4,Säffle
3,"13, säffle kommun, säffle, 13 andra, bibliotek personer",1,Säffle
4,"elever, elevernas, stödja elevernas lärande, stödja elevernas, elevernas lärande",1,Säffle
7,"elevernas, kulturförvaltningen, stödja elevernas lärande, stödja elevernas, elevernas lärande",1,Säffle
9,"säffle, andel, bor, hög, innebär många bor",1,Säffle
13,"barn, bjuds, erbjuds, in, biblioteket",5,Säffle
14,"bibliotek skolbiblioteken del skolans pedagogiska, tillgänglig kap 36 skollagen, gymnasiesärskola tillgång bibliotek skolbiblioteken, gymnasiesärskola tillgång bibliotek, åsiktsbildning också främja litteraturens ställning",1,Säffle
16,"elever, skolbibliotek, också, innebär eleverna säffles grundskola grundsärskola, 36 innebär eleverna säffles grundskola",1,Säffle
21,"via webben, finns, via, webben, låna via",3,Säffle
24,"öppet, timmar, bokbussen, veckan, levande landsbygd dagtid",1,Säffle
29,"bemärkelse både, sitt ordförråd litteratur förstås bemärkelse, it strategin, skön facklitteratur oberoende, sitt ordförråd litteratur",1,Säffle
-1,"ystads, bibliotek, biblioteket, biblioteken, barn",74,Ystad
0,"digitala, la, ystads, va, ga",3,Ystad
1,"personer tecknat, 86 personer, 86, glemmingebro, tecknat",3,Ystad
3,"ystads, biblioteksplan, 10, utvecklingslinjer, ystad",1,Ystad
4,"allmänna biblioteksväsendet ägna särskild uppmärksamhet, biblioteksväsendet ägna särskild uppmärksamhet, biblioteken allmänna biblioteksväsendet ägna särskild, biblioteken allmänna biblioteksväsendet ägna, allmänna biblioteksväsendet ägna",2,Ystad
5,"ystads, revidering göras, revidering, biblioteksplan, göras",1,Ystad
6,"bibliotekspedagoger, skolbiblioteksenheten samordnare, bibliotekspedagoger skolbiblioteksverksamhet, skolbiblioteksenheten, samordnare",2,Ystad
7,"elevernas, skolans, använda, digitala, eleverna",6,Ystad
8,"ystads, ystads kommun, sta rka, akto, akto rer",1,Ystad
11,"oskarson red, oskarson, maria oskarson red, maria oskarson, ulrika andersson",3,Ystad
13,"barn, besökarna, böcker, glemmingebro köpingebro löderup svarte samverkar, personal nå",2,Ystad
14,"allmänna biblioteksväsendet, allmänna, biblioteksväsendet, biblioteken allmänna biblioteksväsendet, biblioteken allmänna",2,Ystad
15,"na, inva narna, narna, inva, anslaget",1,Ystad
16,"skolbibliotek, tillgång skolbibliotek, tillgång, gymnasiesärskolan, eleverna",3,Ystad
18,"folkbiblioteken, litteratur, tillgång litteratur, få, tillgång",1,Ystad
20,"ansvarar, staten, landsting, ansvarar staten, kommuner",2,Ystad
23,"30, torsdagar, 22, måndagar, torsdagar 30 11 30",1,Ystad
24,"vecka, endast, timmar, 2014, enligt mall kategoriseringar endast",1,Ystad
26,"ställa litteratur, avgiftsfritt ställa litteratur, avgiftsfritt ställa, ställa, förfogande",1,Ystad
28,"fo, la, ord, förhållanden, barn",2,Ystad
-1,"biblioteken, samt, skolbiblioteken, biblioteket, genom",47,Jönköping
0,"digitala, digital, kompetens, trygg förvissningen, digitaliseringsstrategin påtalar",4,Jönköping
1,"rummen, biblioteken erbjuder, aktiviteter, användarna, exempel språkcafé tillgång publika",1,Jönköping
2,"låga trösklar, trösklar, låga, trygga platser låga trösklar, platser låga trösklar",1,Jönköping
3,"jönköpings, 2020, jönköpings kommun, 10, hämtad 2020",4,Jönköping
4,"diskrimineringslag kap skolform gäller, 1128 diskrimineringslag kap skolform, gäller läroplan, skollagen enligt läroplanerna grundskolan gymnasieskolan, stockholm 2019 sfs",1,Jönköping
