Topic,Words,Frequency,Class
28,"lånecentraler, förfogande, avgiftsfritt, medieförsörjning finnas, medieförsörjning finnas flera lånecentraler",2,Kronoberg
29,"funktionsnedsättning, hinder, utgöra hinder, personer, personer funktionsnedsättning",2,Kronoberg
-1,"biblioteket, barn, genom, biblioteken, bibliotek",825,Västra Götaland
0,"digitala, digital, biblioteket, biblioteken, tjänster",71,Västra Götaland
1,"samverkan, bibliotek, biblioteken, samarbetet, samarbete",64,Västra Götaland
2,"biblioteksplan, kommun, 10, skolbibliotek, bibliotek",35,Västra Götaland
3,"svenska, språk, böcker, andra, andra språk",15,Västra Götaland
4,"folkbiblioteken, folkbiblioteket, främja, information, lärande",26,Västra Götaland
5,"biblioteksplanen, biblioteksplan, kommun, planen, styrdokument",18,Västra Götaland
6,"nationella, svenska, annat, minoritetsspråken, nationella minoritetsspråken",23,Västra Götaland
7,"kommunen, år, karlsborg, kadsborg, kommun",7,Västra Götaland
8,"kommun, strategiska, mål, strategiska mål, kommunens",9,Västra Götaland
9,"skolbibliotek, elevernas, tillgång skolbibliotek, eleverna, tillgång",12,Västra Götaland
10,"skolbibliotek, finns, elever, skola, grundskolor",19,Västra Götaland
11,"stockholm, del lund, förlag sfs 2013 801, btj förlag sfs 2013, marknadsföring bibliotek",5,Västra Götaland
12,"media, efterfrågan, medier, bibliotekets, skall",14,Västra Götaland
13,"biblioteksväsendet, allmänna biblioteksväsendet, allmänna, biblioteken allmänna biblioteksväsendet, biblioteken allmänna",11,Västra Götaland
14,"biblioteket, barn, år, in, böcker",16,Västra Götaland
15,"nya, personalen, behöver, kunna, bibliotekens",11,Västra Götaland
16,"biblioteket, människor, möten, plats, mötesplats",24,Västra Götaland
17,"rätt, barn, barnkonventionen, barnets, rättigheter",9,Västra Götaland
18,"biblioteksplan, kommun, sfs, bibliotekslagen, biblioteksplanen",13,Västra Götaland
19,"biblioteket, olika, genom, litteratur, läsfrämjande",13,Västra Götaland
21,"öppet, timmar, dagar, vecka, ",7,Västra Götaland
22,"ansvarar, staten, ansvarar staten, kommuner, enskilda",15,Västra Götaland
23,"uppföljning, utvärdering, årligen, görs, biblioteksplanen",6,Västra Götaland
24,"folkbiblioteken, tid, tillgång, få, litteratur",14,Västra Götaland
25,"biblioteket, finns, olika, andra, anpassade",8,Västra Götaland
26,"barn, unga, barn unga, biblioteket, föräldrar",7,Västra Götaland
27,"talböcker, böcker, mtm, biblioteket, myndigheten",9,Västra Götaland
28,"lånecentraler, förfogande, avgiftsfritt, finnas, ställa litteratur",13,Västra Götaland
29,"personer, funktionsnedsättning, anpassade, ägna särskild uppmärksamhet personer, särskild uppmärksamhet personer",6,Västra Götaland
-1,"barn, biblioteket, olika, folkbiblioteket, genom",135,Gävleborg
0,"digitala, it, it miljö, mik, kompetenshöjande",5,Gävleborg
1,"samarbetspartners, lokala, lokala bokhandeln lokala museet, föreningar studieförbund lokala bokhandeln lokala, lokala bokhandeln lokala museet exempel",3,Gävleborg
2,"hofors kommun, hofors, läsfrämjande insatser, kommun, 2023innehållsförteckning inledning biblioteksverksamhet hofors",2,Gävleborg
3,"svenska, språk, andra, andra språk, böcker",4,Gävleborg
4,"folkbiblioteken, folkbiblioteket, främja, verka, främja läsning tillgång litteratur folkbiblioteken",6,Gävleborg
5,"biblioteksplan, biblioteksplanen, sandvikens, antogs, kommuns tidigare",3,Gävleborg
6,"nationella, svenska, annat, allmänna biblioteksväsendet ägna särskild, allmänna biblioteksväsendet ägna",3,Gävleborg
7,"äldre, år, befolkningen, 65 år, 65",2,Gävleborg
8,"ockelbo, kommun, finns, välkomnar, respekt",8,Gävleborg
9,"elevernas, skolbibliotek, tillgång skolbibliotek, skollagen, tillgång",3,Gävleborg
10,"skolbibliotek, elever, kommunens, cirka, huvudbiblioteket",3,Gävleborg
11,"sandvikens, stockholm, sandvikens kommun, kommun, kungliga biblioteket",15,Gävleborg
12,"helge biblioteken, utbud media, helge, låntagarna, boken",1,Gävleborg
13,"biblioteken allmänna biblioteksväsendet, biblioteken allmänna, allmänna biblioteksväsendet, biblioteksväsendet, allmänna",2,Gävleborg
14,"barn, minst, år, barn unga, unga",2,Gävleborg
17,"rätt, jämställdhet kvinnor män, jämställdhet kvinnor, fn konvention rättigheter personer funktionsnedsättning, fn konvention rättigheter",1,Gävleborg
18,"sandvikens, sandvikens kommuns, sandvikens kommuns biblioteksplan, biblioteksplan, kommuns",1,Gävleborg
19,"vuxna, biblioteket erbjuda, erbjuda, biblioteket, relevant",2,Gävleborg
20,"helge, samarbetet, familjen, helsingborg, familjen helsingborg",7,Gävleborg
21,"litteraturhuset, litteraturhuset trampolin, trampolin, timmar, öppet",2,Gävleborg
22,"ansvarar, staten, kommuner, ansvarar staten, bestämmelserna kap skollagen 2010 800",2,Gävleborg
23,"biblioteksplanen, plan, utvärdering, utvärderas, revideras",2,Gävleborg
24,"folkbiblioteken, tid, få, tillgång, annat",1,Gävleborg
25,"finnas lokalen behöver, zoner finnas lokalen behöver lugn, behöver lugn, tysta zoner finnas lokalen, tysta zoner finnas lokalen behöver",3,Gävleborg
27,"talböcker, daisy talböcker, legimus, daisy, utlåning",2,Gävleborg
28,"lånecentraler, områden anknyter, forskning universitetet, forskning universitetet högskolan, universitetet högskolan",2,Gävleborg
29,"nedsatt, funktionsnedsättning, finska, finskspråkiga, variationer",2,Gävleborg
-1,"biblioteket, barn, genom, bibliotek, finns",295,Örebro
0,"digitala, digital, biblioteket, biblioteken, digitalt",21,Örebro
1,"samverkan, örebro, bibliotek, län, örebro län",11,Örebro
2,"biblioteksplan, bibliotekslagen, kommun, styrdokument, biblioteksverksamhet",6,Örebro
3,"svenska, språk, andra språk, andra, biblioteket",9,Örebro
4,"folkbiblioteken, tillgängliga anpassade användarnas behov, tillgängliga anpassade användarnas, tillgängliga anpassade, anpassade användarnas",8,Örebro
5,"biblioteksplanen, biblioteksplan, styrdokument, hällefors, 2023",9,Örebro
6,"svenska, nationella, annat, minoritetsspråken, nationella minoritetsspråken",8,Örebro
7,"hällefors, kommun, befolkningen, kommunen, invånare",5,Örebro
8,"kommunens, lindesbergs, kommunen, 2030, kommun",3,Örebro
9,"skolbibliotek, elevernas, tillgång skolbibliotek, tillgång, eleverna",5,Örebro
10,"skola, skolbibliotek, åk, möckelngymnasiet, f6",7,Örebro
12,"media, medier, in, andra bibliotek, köps in",5,Örebro
13,"allmänna biblioteksväsendet, biblioteksväsendet, allmänna, biblioteksverksamhet, biblioteken allmänna biblioteksväsendet",3,Örebro
14,"biblioteket, barn, böcker, bjuds, bjuds in",11,Örebro
15,"personalen, nya, metoder, bibliotek, kompetenser",6,Örebro
16,"biblioteket, kultur, människor, eget skapande, skapande",5,Örebro
17,"rätt, barn, rättigheter, barnets, fn",4,Örebro
18,"organisera, https www, petra, via https www, via https",1,Örebro
19,"biblioteket, läsfrämjande, budgetera medel föreläsningar författarbesök, budgetera medel föreläsningar, medel föreläsningar",4,Örebro
21,"timmar, öppet, veckan, dagar, hällefors",2,Örebro
22,"ansvarar, staten, ansvarar staten, enskilda, kommuner",6,Örebro
23,"uppföljning, biblioteksplanen, sfs, kultur utbildningsnämnden, sker",4,Örebro
24,"folkbiblioteken, tillgång, tid, få, allmänheten avgiftsfritt få",5,Örebro
25,"biblioteket, besökare, således, besökare används utställningshall professionella, används utställningshall professionella",5,Örebro
26,"barn, unga, barn unga, biblioteket, aktiviteter",7,Örebro
27,"talböcker, mtm, tillgängliga, finns, myndigheten tillgängliga",6,Örebro
28,"lånecentraler, högskolebibliotek, förfogande, finnas, avgiftsfritt",3,Örebro
29,"funktionsnedsättning, personer, ta, personer funktionsnedsättning, kunna ta del",3,Örebro
